Вид долгового обязательства,Сумма погашения,Единица измерения,Код разреза,Код признака,Отчетный период
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",3088.239,млн. долл. США,OKEI,9802,2026
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",3964.424,млн. долл. США,OKEI,9802,2027
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",2588.089,млн. долл. США,OKEI,9802,2028
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",4800.063,млн. долл. США,OKEI,9802,2029
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",44.119,млн. долл. США,OKEI,9802,2030
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",,млн. долл. США,OKEI,9802,2031
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",1471.585,млн. долл. США,OKEI,9802,2032
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",1141.216,млн. долл. США,OKEI,9802,2033
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",,млн. долл. США,OKEI,9802,2034
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",4000.000,млн. долл. США,OKEI,9802,2035
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",1177.268,млн. долл. США,OKEI,9802,2036
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",,млн. долл. США,OKEI,9802,2037
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",,млн. долл. США,OKEI,9802,2038
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",,млн. долл. США,OKEI,9802,2039
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",,млн. долл. США,OKEI,9802,2040
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",,млн. долл. США,OKEI,9802,2041
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",3000.000,млн. долл. США,OKEI,9802,2042
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",1500.000,млн. долл. США,OKEI,9802,2043
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",,млн. долл. США,OKEI,9802,2044
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",,млн. долл. США,OKEI,9802,2045
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",,млн. долл. США,OKEI,9802,2046
"Государственные ценные бумаги, номинальная стоимость которых указана в иностранной валюте",7000.000,млн. долл. США,OKEI,9802,2047
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",26.851,млн. долл. США,OKEI,9802,2026
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",58.833,млн. долл. США,OKEI,9802,2027
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",70.836,млн. долл. США,OKEI,9802,2028
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",70.836,млн. долл. США,OKEI,9802,2029
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",70.749,млн. долл. США,OKEI,9802,2030
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",70.663,млн. долл. США,OKEI,9802,2031
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",70.663,млн. долл. США,OKEI,9802,2032
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",70.663,млн. долл. США,OKEI,9802,2033
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",70.663,млн. долл. США,OKEI,9802,2034
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",70.663,млн. долл. США,OKEI,9802,2035
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",70.663,млн. долл. США,OKEI,9802,2036
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",58.459,млн. долл. США,OKEI,9802,2037
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",43.281,млн. долл. США,OKEI,9802,2038
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",40.304,млн. долл. США,OKEI,9802,2039
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",40.304,млн. долл. США,OKEI,9802,2040
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",40.304,млн. долл. США,OKEI,9802,2041
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",40.304,млн. долл. США,OKEI,9802,2042
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",40.304,млн. долл. США,OKEI,9802,2043
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",40.304,млн. долл. США,OKEI,9802,2044
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",40.304,млн. долл. США,OKEI,9802,2045
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",40.304,млн. долл. США,OKEI,9802,2046
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",40.304,млн. долл. США,OKEI,9802,2047
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",40.304,млн. долл. США,OKEI,9802,2048
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",40.304,млн. долл. США,OKEI,9802,2049
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",40.304,млн. долл. США,OKEI,9802,2050
"Кредиты правительств иностранных государств, международных финансовых организаций и иностранных юридических лиц",40.306,млн. долл. США,OKEI,9802,2051
"Объем ассигнований, предусмотренных на возможное исполнение государственных гарантий Российской Федерации в иностранной валюте в соответствии с Федеральным законом от 28 ноября 2025 г. № 426-ФЗ ""О федеральном бюджете на 2026 год и на плановый период 2027 и 2028 годов""",901.800,млн. долл. США,OKEI,9802,2026
"Объем ассигнований, предусмотренных на возможное исполнение государственных гарантий Российской Федерации в иностранной валюте в соответствии с Федеральным законом от 28 ноября 2025 г. № 426-ФЗ ""О федеральном бюджете на 2026 год и на плановый период 2027 и 2028 годов""",810.400,млн. долл. США,OKEI,9802,2027
"Объем ассигнований, предусмотренных на возможное исполнение государственных гарантий Российской Федерации в иностранной валюте в соответствии с Федеральным законом от 28 ноября 2025 г. № 426-ФЗ ""О федеральном бюджете на 2026 год и на плановый период 2027 и 2028 годов""",544.800,млн. долл. США,OKEI,9802,2028